artist_name,gender
אבטיפוס,2
אבי ביטר,0
אבי טולדנו,0
אבי סינואני,0
אבי פרץ,0
אביב גפן,0
אביהו מדינה,0
אביתר בנאי,0
אבנר גדסי,0
אברהם טל,0
אדם,0
אהובה עוזרי,1
אהוד בנאי,0
אהוד מנור,0
אודי דוידי,0
אוהד חיטמן,0
אורי פיינמן,0
אושיק לוי,0
אחינועם ניני,1
איגי וקסמן,1
איה כורם,1
אייל גולן,0
אילנה אביטל,1
איפה הילד,2
איציק קלה,0
איציק שמלי,0
איתי לוי,0
איתן מסורי,0
אלון אולארצ'יק,0
אלון דה לוקו,0
אלי לוזון,0
אליעד,0
אמיר פיי גוטמן,0
אניה בוקשטיין,1
אסף אמדורסקי,0
אסתר שמיר,1
אפרים שמיר,0
אפרת גוש,1
ארז לב ארי,0
ארי גורלי ורעות יהודאי,2
אריאל הורוביץ,0
אריאל זילבר,0
אריק איינשטיין,0
אריק ברמן,0
אריק לביא,0
אריק סיני,0
ארקדי דוכין,0
אתי אנקרי,1
אתניקס,2
בוטן מתוק בקרקס,2
בועז מעודה,0
בועז שרעבי,0
בטי,1
בית הבובות,2
בן ארצי,0
בנזין,2
בני אלבז,0
בני אמדורסקי,0
בני ברמן,0
בני בשן,0
בר כהן,1
ברוך פרידלנד,0
ברי סחרוף,0
ברק פלדמן,0
ג'ירפות,2
ג'נגו,0
גבי שושן,0
גבריאל בלחסן,0
גד אלבז,0
גוסטו,0
גזוז,2
גיא מר,0
גידי גוב,0
גילי ארגוב,0
גל סינואני,0
גלי עטרי,1
גליקריה,1
גלעד כהנא,0
גלעד שגב,0
גרי אקשטיין,0
דוד ד'אור,0
דודו אהרון,0
דודו ברק,0
דודו זכאי,0
דודו טסה,0
דודי לוי,0
דורון מזר,0
דורון מירן,0
דורי בן זאב,0
דורית ראובני,1
דיויד ברוזה,0
דין דין אביב,1
דיקלה,1
דן אלמגור,0
דן תורן,0
דנה אינטרנשיונל,1
דנה ברגר,1
דנה לפידות,1
דני גרנות,0
דני ליטני,0
דני סנדרסון,0
דני רובס,0
דני שושן,0
דניאל בן חיים,0
דניאל סולומון ודנה עדיני,2
דניאל סלומון,0
דפנה ארמוני,1
דפנה דקל,1
דקלון,0
הבטלנים,2
הבילויים,2
הגבעטרון,2
הדג נחש,2
הדורבנים,2
החברים של נטאשה,2
החלונות הגבוהים,2
היהודים,2
המכשפות,2
הפיג'מות,2
הפיל הכחול,2
הפרויקט של עידן רייכל,2
הצל,0
הראל מויאל,0
הראל סקעת,0
התקווה 6,2
התרנגולים,2
זאב טנא,0
זאב נחמה,0
זהבה בן,1
זוהר ארגוב,0
זקני צפת,2
