song,link,artist_name,artist_id,year,hit
אהבתיה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=975&wrkid=73,שלמה ארצי,975,1970,1
למה לי לקחת ללב,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=960&wrkid=1979,שלום חנוך,960,1970,1
לצפון באהבה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=450&wrkid=2010,יגאל בשן,450,1970,1
אהבתה של תרזה דימון,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=572&wrkid=72,לאה גולדברג,572,1970,1
שיר לשלום,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=820&wrkid=3005,עופרה חזה,820,1970,1
מתוק מתוק,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=450&wrkid=5037,יגאל בשן,450,1971,1
אני חולם על נעמי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1030&wrkid=405,תרצה אתר,1030,1971,1
אני ואתה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=400,אריק איינשטיין,166,1971,1
ומתוק האור בעיניים,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=904&wrkid=8919,רחל שפירא,904,1971,1
חופשי ומאושר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=183&wrkid=1422,בועז שרעבי,183,1971,1
היום היום,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=299&wrkid=1078,דורית ראובני,299,1972,1
חייך וחיי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=183&wrkid=1440,בועז שרעבי,183,1972,1
מסביב למדורה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=743&wrkid=2189,נתן אלתרמן,743,1972,1
על אם הדרך,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=743&wrkid=4266,נתן אלתרמן,743,1972,1
אל תשאל ילד,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=975&wrkid=284,שלמה ארצי,975,1972,1
המגפיים של ברוך,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=563&wrkid=1152,כוורת,563,1973,1
אי שם,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=4152,אהוד מנור,58,1973,1
שיר בבוקר בבוקר,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=975&wrkid=3935,שלמה ארצי,975,1973,1
אמא אדמה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=166&wrkid=344,אריק איינשטיין,166,1973,1
סימנים,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=843&wrkid=6510,צביקה פיק,843,1973,1
נתתי לה חיי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=563&wrkid=2348,כוורת,563,1974,1
לו יהי,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=738&wrkid=1895,נעמי שמר,738,1974,1
יו יה,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=563&wrkid=1528,כוורת,563,1974,1
נח,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=688&wrkid=2292,מתי כספי,688,1974,1
אין לך מה לדאוג,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=857&wrkid=4450,קובי אושרת,857,1974,1
גוליית,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=563&wrkid=813,כוורת,563,1975,1
מוכרחים להמשיך לנגן,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=447&wrkid=2077,יאיר רוזנבלום,447,1975,1
בארץ אהבתי השקד פורח,https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=881&wrkid=527,רוחמה רז,881,1975,1
